"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","Header"
"Number of battery blocks","#Bty Blk","2192","G","14","14","","7E2"
"Number of Current Code","#Curr Code","21E1","A","0","255","","7E2"
"Number of History Code","#Hist Code","21E1","B","0","255","","7E2"
"Aircon Gate Status","A/C Gate","2175","{A:5}","0","1","Off/On","7E2"
"A/C consumption power","A/C pwr","217D","C * 50","0","5000","W","7E2"
"Comm with Air Conditioner","AC Comm","2124","{A:2}","0","1","Off/On","7E0"
"Actual Engine Torque","ActEngTorq","2149","(D * 256 + E) - 32768","0","150","Nm","7E0"
"Adjusted Ambient Temp","AdjAmbient","213D","A * 81.6 / 255 - 30.8","-30.8","50.8","C","7C4"
"AF Lambda B1S1","AFL B1S1","2104","(C * 256 + D) * 1.99 / 65535","0","1.99","","7E0"
"AFS Voltage B1S1","AFSV B1S1","2104","(E * 256 + F) * 7.99 / 65535","0","7.99","V","7E0"
"Ambient temperature","ambient","2101","D - 40","-40","60","C","7E2"
"Accel Pedal Pos #1","AP1","2101","M * 20 / 51","0","100","%","7E2"
"Accel Pedal Pos #2","AP2","2101","N * 20 / 51","0","100","%","7E2"
"Atmosphere Pressure_7E0","AtmPres_7E0","2101","H","0","255","kPa","7E0"
"Atmosphere Pressure_7E2","AtmPres_7E2","2101","E","0","255","kPa","7E2"
"Auxiliary Battery Voltage","Aux Bty","2181","(AC * 256 + AD) * 79.9 / 65535 - 40","0","16","V","7E2"
"Auxiliary Battery Temperature","Aux. B t","2141","E - 40","-40","120","C","7E2"
"Boost Ratio","B Ratio","217D","A / 2","0","100","%","7E2"
"Battery Power","BattPwr","","VAL{Batt Pack Current Val} * VAL{VL-Voltage before Boosting} / 1000.0","-100","100","kW",""
"Boost converter temperature after IG-ON","BC Ign","2174","C - 40","15","150","C","7E2"
"Boost converter temperature (lower)","BC L","2174","B - 40","15","150","C","7E2"
"Boost converter temperature Max","BC max","2174","D - 40","15","150","C","7E2"
"Boost converter temperature (upper)","BC U","2174","A - 40","15","150","C","7E2"
"Battery block number with maximum voltage","Blk# max","2192","F + 1","1","14","","7E2"
"Battery block number with minimum voltage","Blk# min","2192","C + 1","1","14","","7E2"
"Communication with Brake","Brk Comm","2124","{A:3}","0","1","Off/On","7E0"
"Batt Pack Current Val","Bty Curr","2198","(A * 256 + B) / 100 - 327.68","-200","200","A","7E2"
"Cooling Fan 0","C Fan 0","218E","A / 2","0","100","%","7E2"
"Cooling Fan Relay Status","C Fan Rly","218E","{B:7}","0","1","Off/On","7E2"
"Cancel Switch","Cancel","2121","{E:2}","0","1","Off/On","7E2"
"Cruise Control","CC","2121","{D:6}","0","1","Off/On","7E2"
"CCS Vehicle Spd","CCS Spd","2121","A","0","200","km/h","7E2"
"HV battery charge control","Chg ctrl","2198","C / 2 - 64","-40","0","kW","7E2"
"Calculated Load_7E0","CLoad_7E0","2101","A * 20 / 51","0","100","%","7E0"
"Calculated Load_7E2","CLoad_7E2","2101","A * 20 / 51","0","100","%","7E2"
"Converter Carrier Frequency (9.55kHz=0,9.13kHz=1,8.71kHz=2,8.29kHz=3,7.87kHz=4,7.45kHz=5,4.8kHz=6)","Cnv CF","217D","B","0","6","","7E2"
"Converter Fail","Cnv fail","2179","{D:6}","0","1","Off/On","7E2"
"Converter Gate Status","Cnv Gate","2174","{E:7}","0","1","Off/On","7E2"
"Converter Shutdown","Cnv S/D","2179","{D:7}","0","1","Off/On","7E2"
"Coolant Temperature_7E0","Coolant_7E0","2101","I - 40","-40","120","C","7E0"
"Cylinder Number","Cyl#","21C1","N","4","4","","7E0"
"Accumulated Time of DC Inhibit","DCI count","2192","J * 256 + K","0","65535","","7E2"
"DCDC Cnv Target Pulse Duty","DCTPD","2179","(A * 256 + B) * 399.9 / 65535","0","100","%","7E2"
